,[User ID],[IP Address],[Country],[IP No.],[AS],[Latitude],[Longitude]
0,0,278,1,0,135,38.0,-97.0
1,1,106,1,0,135,38.0464,-122.23
2,2,292,17,0,13,35.685,139.7514
3,3,22,1,1,61,40.4249,-86.9162
4,4,78,1,1,61,40.4249,-86.9162
5,5,74,1,1,115,34.4329,-119.8371
6,6,183,1,1,115,34.4329,-119.8371
7,7,23,1,1,115,34.4329,-119.8371
8,8,234,1,1,2,40.3756,-74.6597
9,9,138,1,1,2,40.3756,-74.6597
10,10,267,1,1,53,36.9899,-122.0603
11,11,118,1,1,53,36.9899,-122.0603
12,12,214,1,1,53,36.9899,-122.0603
13,13,26,1,1,87,42.3804,-72.5231
14,14,197,1,1,87,42.3804,-72.5231
15,15,31,1,1,12,41.7804,-87.6027
16,16,33,1,1,12,41.7804,-87.6027
17,17,36,1,1,100,40.3563,-111.7325
18,18,82,1,1,100,40.3563,-111.7325
19,19,71,1,1,58,44.5642,-123.279
20,20,295,1,1,128,40.4439,-79.9561
21,21,10,1,1,134,47.6606,-122.2919
22,22,255,1,1,134,47.6606,-122.2919
23,23,258,1,1,134,47.6606,-122.2919
24,24,50,1,1,134,47.6606,-122.2919
25,25,311,1,1,26,39.3288,-76.5967
26,26,168,1,1,26,39.3288,-76.5967
27,27,96,1,1,41,29.6516,-82.3248
28,28,199,1,1,41,29.6516,-82.3248
29,29,139,30,1,15,52.2,0.1167
30,30,140,11,1,106,52.1193,-106.6594
31,31,174,11,1,106,52.1193,-106.6594
32,32,291,1,1,9,40.6944,-73.9906
33,33,294,1,1,60,38.6657,-90.3231
34,34,162,1,1,60,38.6657,-90.3231
35,35,63,1,1,60,38.6657,-90.3231
36,36,333,1,1,71,42.3646,-71.1028
37,37,179,1,1,10,29.7176,-95.4188
38,38,251,1,1,10,29.7176,-95.4188
39,39,284,1,1,94,40.8006,-73.9653
40,40,37,1,1,94,40.8006,-73.9653
41,41,103,1,1,94,40.8006,-73.9653
42,42,58,1,1,59,40.5516,-74.4637
43,43,19,1,1,88,38.9827,-77.00399999999999
44,44,217,1,1,88,38.9827,-77.00399999999999
45,45,324,1,1,119,30.2961,-97.7369
46,46,238,1,1,119,30.2961,-97.7369
47,47,57,1,1,119,30.2961,-97.7369
48,48,290,1,1,119,30.2961,-97.7369
49,49,117,1,1,108,42.4485,-76.4804
50,50,268,1,1,108,42.4485,-76.4804
51,51,90,1,1,108,42.4485,-76.4804
52,52,4,1,1,132,42.3424,-71.0878
53,53,133,1,1,132,42.3424,-71.0878
54,54,92,1,1,89,42.0586,-87.6845
55,55,147,1,1,20,32.7714,-97.2915
56,56,195,1,1,47,31.7832,-106.4976
57,57,44,1,1,96,32.9482,-96.7297
58,58,189,1,1,96,32.9482,-96.7297
59,59,151,1,1,17,39.1023,-96.5246
60,60,313,1,1,35,39.1668,-84.5382
61,61,272,1,1,76,43.0899,-77.6376
62,62,59,1,1,76,43.0899,-77.6376
63,63,123,1,1,117,38.9525,-95.2756
64,64,115,1,1,117,38.9525,-95.2756
65,65,35,1,1,68,35.0443,-106.6729
66,66,156,28,1,24,69.6667,18.9667
67,67,257,28,1,24,69.6667,18.9667
68,68,196,1,1,74,36.1473,-86.777
69,69,282,18,1,81,48.7667,9.1833
70,70,43,18,1,81,48.7667,9.1833
71,71,109,1,1,103,41.7007,-86.2501
72,72,128,1,1,103,41.7007,-86.2501
73,73,163,1,1,124,40.8,-96.667
74,74,173,1,1,124,40.8,-96.667
75,75,112,11,1,5,43.4529,-80.5281
76,76,307,11,1,5,43.4529,-80.5281
77,77,329,14,1,123,44.4833,11.3333
78,78,79,18,1,95,52.5167,13.4
79,79,21,18,1,95,52.5167,13.4
80,80,73,14,1,123,45.05,7.6667
81,81,260,15,1,22,42.8141,-1.6412
82,82,81,29,1,3,59.3333,18.05
83,83,85,18,1,95,52.3667,9.7167
84,84,25,18,1,38,49.8706,8.6494
85,85,77,18,1,38,49.8706,8.6494
86,86,274,18,1,38,49.8706,8.6494
87,87,132,5,1,73,46.9167,7.4667
88,88,48,5,1,73,46.9167,7.4667
89,89,6,23,1,45,48.2,16.3667
90,90,153,23,1,45,48.2,16.3667
91,91,152,14,1,123,42.8333,12.8333
92,92,273,14,1,123,42.8333,12.8333
93,93,280,1,1,78,33.7866,-118.2987
94,94,335,1,1,78,33.7866,-118.2987
95,95,224,1,1,92,33.7866,-118.2987
96,96,104,1,1,92,33.7866,-118.2987
97,97,207,18,1,95,49.45,7.75
98,98,8,18,1,95,49.45,7.75
99,99,304,18,1,95,49.45,7.75
100,100,306,1,1,75,28.0631,-82.4128
101,101,125,1,1,75,28.0631,-82.4128
102,102,315,1,1,75,28.0631,-82.4128
103,103,309,1,1,75,28.0631,-82.4128
104,104,277,27,1,52,48.111999999999995,-1.6743
105,105,165,27,1,52,48.111999999999995,-1.6743
106,106,226,1,1,23,28.5663,-81.2608
107,107,248,1,1,23,28.5663,-81.2608
108,108,111,1,1,55,32.8807,-117.2359
109,109,293,1,1,55,32.8807,-117.2359
110,110,338,12,1,83,31.78,35.23
111,111,246,12,1,83,31.78,35.23
112,112,318,17,1,42,35.69,139.69
113,113,271,17,1,29,35.685,139.7514
114,114,16,30,1,15,52.4667,-1.9167
115,115,188,30,1,15,52.4667,-1.9167
116,116,317,18,1,81,47.6667,9.1833
117,117,176,18,1,81,47.6667,9.1833
118,118,219,18,1,95,51.5333,9.9333
119,119,119,18,1,95,51.5333,9.9333
120,120,72,25,1,33,18.25,-66.5
121,121,9,25,1,33,18.25,-66.5
122,122,314,7,1,63,1.2931,103.8558
123,123,225,7,1,63,1.2931,103.8558
124,124,270,7,1,63,1.2931,103.8558
125,125,60,1,1,69,42.6442,-73.2463
126,126,213,1,1,69,42.6442,-73.2463
127,127,175,1,1,69,42.6442,-73.2463
128,128,321,1,1,69,42.6442,-73.2463
129,129,145,0,1,43,22.2833,114.15
130,130,296,0,1,43,22.25,114.1667
131,131,240,0,1,43,22.25,114.1667
132,132,158,18,1,95,50.7708,6.1053
133,133,114,18,1,95,50.7708,6.1053
134,134,322,1,1,107,41.808,-72.251
135,135,289,15,1,22,40.4086,-3.6922
136,136,250,1,1,37,37.3688,-122.0363
137,137,303,1,1,37,37.3688,-122.0363
138,138,245,23,1,102,47.2667,11.4
139,139,42,23,1,102,47.2667,11.4
140,140,265,1,1,34,38.8933,-77.0146
141,141,102,1,1,34,38.8933,-77.0146
142,142,264,18,1,125,48.15,11.5833
143,143,12,18,1,125,48.15,11.5833
144,144,206,30,1,15,51.5,-0.13
145,145,131,30,1,15,51.5,-0.13
146,146,261,27,1,129,43.6413,7.0057
147,147,100,27,1,129,43.6413,7.0057
148,148,249,18,1,95,49.2333,7.0
149,149,97,18,1,95,49.2333,7.0
150,150,229,18,1,95,49.2333,7.0
151,151,192,18,1,95,49.2333,7.0
152,152,45,18,1,95,49.2333,7.0
153,153,337,18,1,95,49.2333,7.0
154,154,136,3,1,64,39.0,22.0
155,155,91,3,1,64,39.0,22.0
156,156,216,24,1,39,25.0392,121.525
157,157,93,24,1,39,25.0392,121.525
158,158,150,24,1,39,25.0392,121.525
159,159,297,24,1,109,25.0392,121.525
160,160,228,24,1,104,25.0392,121.525
161,161,80,24,1,104,25.0392,121.525
162,162,14,1,1,111,41.8776,-87.6272
163,163,262,1,1,28,43.0481,-76.1474
164,164,54,1,1,28,43.0481,-76.1474
165,165,283,1,1,110,38.8933,-77.0146
166,166,221,1,1,110,38.8933,-77.0146
167,167,15,18,1,95,52.5167,13.4
168,168,38,18,1,95,52.5167,13.4
169,169,83,1,1,130,42.2923,-83.7145
170,170,223,1,1,130,42.2923,-83.7145
171,171,157,1,1,130,42.2923,-83.7145
172,172,64,1,1,85,47.1544,-88.6471
173,173,46,1,1,85,47.1544,-88.6471
174,174,29,18,1,95,53.55,10.0
175,175,233,18,1,95,50.6833,10.9
176,176,253,18,1,95,51.05,13.75
177,177,312,18,1,95,51.05,13.75
178,178,200,11,1,11,48.4202,-123.3671
179,179,299,11,1,131,43.6619,-79.3952
180,180,320,11,1,131,43.6619,-79.3952
181,181,336,11,1,131,43.6619,-79.3952
182,182,193,23,1,46,46.6247,14.3053
183,183,222,23,1,46,46.6247,14.3053
184,184,129,16,1,84,37.57,126.98
185,185,17,1,1,112,44.9733,-93.2323
186,186,231,3,1,133,37.9833,23.7333
187,187,331,3,1,133,37.9833,23.7333
188,188,61,8,1,118,49.2,16.6333
189,189,275,15,1,91,41.3984,2.1741
190,190,166,15,1,91,41.3984,2.1741
191,191,203,1,1,32,33.4148,-111.9093
192,192,124,3,1,44,38.2444,21.7344
193,193,298,3,1,44,38.2444,21.7344
194,194,7,26,1,56,52.4167,16.9667
195,195,235,26,1,56,52.4167,16.9667
196,196,242,17,1,99,35.69,139.69
197,197,41,17,1,99,35.69,139.69
198,198,62,1,1,67,35.9954,-78.9019
199,199,18,1,1,67,35.9954,-78.9019
200,200,34,27,1,25,48.6921,6.1878
201,201,98,27,1,25,48.6921,6.1878
202,202,285,1,1,4,40.7458,-74.0321
203,203,330,1,1,4,40.7458,-74.0321
204,204,88,26,1,54,51.1,17.0333
205,205,308,26,1,54,51.1,17.0333
206,206,323,1,1,50,38.861999999999995,-86.4711
207,207,332,1,1,50,38.861999999999995,-86.4711
208,208,281,21,1,8,47.5,19.0833
209,209,190,1,1,7,39.9597,-75.1968
210,210,55,1,1,93,35.9043,-83.8407
211,211,86,15,1,22,40.4086,-3.6922
212,212,325,17,1,65,34.6853,135.8328
213,213,87,17,1,65,34.6853,135.8328
214,214,159,17,1,65,34.6853,135.8328
215,215,286,17,1,65,34.6853,135.8328
216,216,327,19,1,86,-34.8581,-56.1708
217,217,243,19,1,86,-34.8581,-56.1708
218,218,319,1,1,59,40.5032,-74.4289
219,219,51,1,1,59,40.5032,-74.4289
220,220,65,1,1,114,37.8668,-122.2536
221,221,68,1,1,114,37.8668,-122.2536
222,222,181,1,1,114,37.8668,-122.2536
223,223,155,1,1,114,37.8668,-122.2536
224,224,326,1,1,114,37.8668,-122.2536
225,225,66,1,1,114,37.8668,-122.2536
226,226,141,1,1,126,33.7529,-116.0556
227,227,160,1,1,51,38.4829,-121.6398
228,228,169,1,1,51,38.4829,-121.6398
229,229,116,1,1,70,33.7952,-84.3248
230,230,143,1,1,70,33.7952,-84.3248
231,231,205,1,1,21,37.4178,-122.17200000000001
232,232,210,1,2,82,38.0,-97.0
233,233,301,1,2,82,38.0,-97.0
234,234,247,11,2,79,45.5078,-73.5804
235,235,110,18,2,95,51.7167,8.7667
236,236,236,18,2,95,51.7167,8.7667
237,237,56,5,2,73,47.3667,8.55
238,238,198,5,2,73,47.3667,8.55
239,239,99,5,2,73,47.3667,8.55
240,240,52,5,2,73,47.3667,8.55
241,241,212,5,2,73,47.3667,8.55
242,242,279,5,2,73,47.3667,8.55
243,243,227,5,2,73,46.9931,6.93
244,244,244,1,2,72,41.8471,-87.6248
245,245,310,1,2,72,41.8471,-87.6248
246,246,107,1,2,15,51.45,-2.5833
247,247,208,1,2,49,37.3762,-122.1826
248,248,171,1,2,49,37.3762,-122.1826
249,249,177,1,2,49,37.3762,-122.1826
250,250,287,10,2,101,53.3331,-6.2489
251,251,27,10,2,101,53.3331,-6.2489
252,252,1,20,2,127,38.7167,-9.1333
253,253,135,20,2,127,38.7167,-9.1333
254,254,266,20,2,127,39.5,-8.0
255,255,256,15,2,22,41.1167,1.25
256,256,230,28,2,24,59.9167,10.75
257,257,191,28,2,24,59.9167,10.75
258,258,276,13,2,1,60.1756,24.9342
259,259,232,13,2,1,60.1756,24.9342
260,260,218,13,2,1,60.1756,24.9342
261,261,254,18,2,95,52.5167,13.4
262,262,49,18,2,95,52.5167,13.4
263,263,209,18,2,95,52.5167,13.4
264,264,13,18,2,81,49.0047,8.3858
265,265,178,27,2,25,48.111999999999995,-1.6743
266,266,211,27,2,25,48.86,2.35
267,267,300,27,2,25,48.86,2.35
268,268,328,21,2,80,47.5,19.0833
269,269,220,30,2,15,51.5,-0.13
270,270,70,26,2,62,52.0,20.0
271,271,94,26,2,62,52.0,20.0
272,272,202,30,2,15,51.5142,-0.0931
273,273,186,30,2,15,51.5142,-0.0931
274,274,263,2,2,90,35.1667,33.3667
