,Unnamed: 0,[Service ID],[WSDL Address],[Service Provider],[IP Address],[Country],[IP No.],[AS],[Latitude],[Longitude]
0,0,0,http://ewave.no-ip.com/ECallws/CinemaData.asmx?WSDL,2281,1122,1,0,1263,38.0,-97.0
1,1,1,http://ewave.no-ip.com/ECallws/StadiumSinchronization.asmx?WSDL,2281,1122,1,0,1263,38.0,-97.0
2,2,2,http://ewave.no-ip.com/EcallWS/CinemaSinchronization.asmx?WSDL,2281,1122,1,0,1263,38.0,-97.0
3,3,3,http://ewave.no-ip.com/ECallws/StadiumData.asmx?WSDL,2281,1122,1,0,1263,38.0,-97.0
4,4,4,http://ewave.no-ip.com/ECallws/BuyerData.asmx?WSDL,2281,1122,1,0,185,38.0,-97.0
5,5,5,http://aquest.dyndns.org/CaptchaAudioWS/CaptchaAudio.asmx?WSDL,1815,1254,1,2,602,40.7904,-74.0246
6,6,6,http://www.utn.edu.ar/WebServices/ListaTics.asmx?WSDL,1765,1615,69,5,1027,-45.5881,-69.07
7,7,7,http://www.utn.edu.ar/WebServices/WSAcademico.asmx?WSDL,1765,1615,69,5,1027,-45.5881,-69.07
8,8,8,http://200.45.113.149/SC.BlackBerryClients.WS/Service.asmx?WSDL,522,479,69,2,290,-34.5875,-58.6725
9,9,9,http://xml.dev.hoteldo.com/HotelDoInterface.asmx?WSDL,643,1824,69,2,1165,-34.4714,-58.5078
10,10,10,http://www.librosar.com.ar/portal/servicioonix.asmx?WSDL,1078,978,69,5,650,,
11,11,11,http://ba.mobilenik.com.ar/dbbrowser/dbbrowser.asmx?WSDL,1911,1763,69,5,1112,,
12,12,12,http://www.mslatam.com/latam/msdn/comunidad/dce/estadistica/webservices/FSD_Statistics_WS.asmx?WSDL,1824,585,69,0,1100,47.6801,-122.1206
13,13,13,http://www.neodynamic.com/Products/Demos/BCWebSampleWS/BarcodeProfessionalWS.asmx?wsdl,2679,299,69,1,347,-32.9468,-60.6393
14,14,14,http://www.ssat.com.ar/googleearth1.1/service.asmx?wsdl,1791,777,69,2,843,-34.7765,-58.4069
15,15,15,http://www.transportesjoselito.com/atlas/modal/TiempoService.asmx?WSDL,1427,620,69,2,157,-32.9468,-60.6393
16,16,16,http://wsatebara.com.ar/ServicioWeb.asmx?WSDL,396,1665,69,1,178,-34.5875,-58.6725
17,17,17,http://wsluisbal.com.ar/WebService.asmx?WSDL,338,1665,69,1,178,-34.5875,-58.6725
18,18,18,http://www.enterpriseconnect.gov.au/_vti_bin/BusinessDataCatalog.asmx?wsdl,1312,2453,8,2,252,-27.0,133.0
